referencia,referencia_data,ativo,idtempo,idreserva,idsituacao,situacao,sigla,tempo,data_cad
13895,2025-04-04 11:46:09,S,13895,2551,23,Análise de proposta (Diretoria) (1),,146,2025-04-04 11:46:09
13896,2025-04-04 11:46:18,S,13896,2539,23,Análise de proposta (Diretoria) (1),,1089,2025-04-04 11:46:18
13897,2025-04-04 11:46:26,S,13897,1981,23,Análise de proposta (Diretoria) (1),,83,2025-04-04 11:46:26
13898,2025-04-04 11:49:24,S,13898,1935,20,Negociação (5),,45856,2025-04-04 11:49:24
13899,2025-04-04 13:44:02,S,13899,2261,1,Reserva (7),,105040,2025-04-04 13:44:02
13900,2025-04-04 14:15:35,S,13900,1935,23,Análise de proposta (Diretoria) (1),,146,2025-04-04 14:15:35
13901,2025-04-04 14:21:55,S,13901,2554,26,Crédito (Interno) (2),,163,2025-04-04 14:21:55
13902,2025-04-04 14:44:04,S,13902,2551,20,Negociação (5),,177,2025-04-04 14:44:04
13903,2025-04-04 14:52:20,S,13903,2539,20,Negociação (5),,186,2025-04-04 14:52:20
13904,2025-04-04 14:56:05,S,13904,2543,26,Crédito (Interno) (2),,245,2025-04-04 14:56:05
13905,2025-04-04 15:01:26,S,13905,2361,26,Crédito (Interno) (2),,247,2025-04-04 15:01:26
13906,2025-04-04 15:15:07,S,13906,1981,20,Negociação (5),,208,2025-04-04 15:15:07
13907,2025-04-04 15:20:10,S,13907,2539,23,Análise de proposta (Diretoria) (1),,27,2025-04-04 15:20:10
13908,2025-04-04 15:20:33,S,13908,2312,26,Crédito (Interno) (2),,263,2025-04-04 15:20:33
13909,2025-04-04 15:21:11,S,13909,1981,23,Análise de proposta (Diretoria) (1),,6,2025-04-04 15:21:11
13910,2025-04-04 15:25:27,S,13910,2548,1,Reserva (7),,10124,2025-04-04 15:25:27
13911,2025-04-04 15:29:59,S,13911,1912,26,Crédito (Interno) (2),,262,2025-04-04 15:29:59
13912,2025-04-04 15:37:57,S,13912,2551,23,Análise de proposta (Diretoria) (1),,53,2025-04-04 15:37:57
13913,2025-04-04 15:42:05,S,13913,1921,26,Crédito (Interno) (2),,271,2025-04-04 15:42:05
13914,2025-04-04 15:47:47,S,13914,2361,20,Negociação (5),,46,2025-04-04 15:47:47
13915,2025-04-04 15:52:44,S,13915,1953,20,Negociação (5),,33297,2025-04-04 15:52:44
13916,2025-04-04 15:53:39,S,13916,1953,23,Análise de proposta (Diretoria) (1),,0,2025-04-04 15:53:39
13917,2025-04-04 15:56:06,S,13917,1953,20,Negociação (5),,2,2025-04-04 15:56:06
13918,2025-04-04 15:58:29,S,13918,2361,23,Análise de proposta (Diretoria) (1),,10,2025-04-04 15:58:29
13919,2025-04-04 16:06:52,S,13919,1905,20,Negociação (5),,1435,2025-04-04 16:06:52
13920,2025-04-04 16:23:07,S,13920,1953,23,Análise de proposta (Diretoria) (1),,27,2025-04-04 16:23:07
13921,2025-04-04 16:26:39,S,13921,1905,23,Análise de proposta (Diretoria) (1),,19,2025-04-04 16:26:39
13922,2025-04-04 16:36:40,S,13922,1940,26,Crédito (Interno) (2),,324,2025-04-04 16:36:40
13923,2025-04-04 16:38:42,S,13923,1935,26,Crédito (Interno) (2),,143,2025-04-04 16:38:42
13924,2025-04-04 16:42:31,S,13924,1925,20,Negociação (5),,20367,2025-04-04 16:42:31
13925,2025-04-04 16:48:06,S,13925,1905,26,Crédito (Interno) (2),,21,2025-04-04 16:48:06
13926,2025-04-04 16:48:08,S,13926,1925,23,Análise de proposta (Diretoria) (1),,5,2025-04-04 16:48:08
13927,2025-04-04 16:57:08,S,13927,1925,26,Crédito (Interno) (2),,9,2025-04-04 16:57:08
13928,2025-04-04 16:58:38,S,13928,1905,20,Negociação (5),,10,2025-04-04 16:58:38
13929,2025-04-04 16:58:42,S,13929,1905,23,Análise de proposta (Diretoria) (1),,0,2025-04-04 16:58:42
13930,2025-04-04 17:00:02,S,13930,1905,26,Crédito (Interno) (2),,1,2025-04-04 17:00:02
13931,2025-04-04 17:03:18,S,13931,2543,20,Negociação (5),,127,2025-04-04 17:03:18
13932,2025-04-04 17:06:15,S,13932,1905,20,Negociação (5),,6,2025-04-04 17:06:15
13933,2025-04-04 17:06:19,S,13933,1905,23,Análise de proposta (Diretoria) (1),,0,2025-04-04 17:06:19
13934,2025-04-04 17:06:19,S,13934,2544,26,Crédito (Interno) (2),,376,2025-04-04 17:06:19
13935,2025-04-04 17:06:48,S,13935,1923,20,Negociação (5),,4413,2025-04-04 17:06:48
13936,2025-04-04 17:10:52,S,13936,2453,20,Negociação (5),,1419,2025-04-04 17:10:52
13937,2025-04-04 17:11:06,S,13937,2543,23,Análise de proposta (Diretoria) (1),,7,2025-04-04 17:11:06
13938,2025-04-04 17:11:35,S,13938,2544,20,Negociação (5),,5,2025-04-04 17:11:35
13939,2025-04-04 17:13:19,S,13939,1923,23,Análise de proposta (Diretoria) (1),,6,2025-04-04 17:13:19
13940,2025-04-04 17:15:08,S,13940,2544,23,Análise de proposta (Diretoria) (1),,3,2025-04-04 17:15:08
13941,2025-04-04 17:17:13,S,13941,2453,23,Análise de proposta (Diretoria) (1),,6,2025-04-04 17:17:13
13942,2025-04-04 17:20:14,S,13942,2312,20,Negociação (5),,119,2025-04-04 17:20:14
13943,2025-04-04 17:21:15,S,13943,1921,20,Negociação (5),,99,2025-04-04 17:21:15
13944,2025-04-04 17:23:56,S,13944,2312,23,Análise de proposta (Diretoria) (1),,3,2025-04-04 17:23:56
13945,2025-04-04 17:26:26,S,13945,1921,23,Análise de proposta (Diretoria) (1),,5,2025-04-04 17:26:26
13946,2025-04-04 17:30:47,S,13946,1943,26,Crédito (Interno) (2),,384,2025-04-04 17:30:47
13947,2025-04-04 17:34:28,S,13947,2415,20,Negociação (5),,10069,2025-04-04 17:34:28
13948,2025-04-04 17:39:45,S,13948,1951,26,Crédito (Interno) (2),,390,2025-04-04 17:39:45
